DISTRICT,DEM VOTES,REP VOTES,WINNER,TOTAL VOTES
1,181992,104329,DEM,286321
2,202980,134335,DEM,337315
3,160314,157685,DEM,317999
4,70710,150619,REP,221329
5,127585,188648,REP,316233
6,208710,138754,DEM,347464
7,295998,49207,DEM,345205
8,179003,155976,DEM,334979
9,171746,67631,DEM,239377
10,152544,114777,DEM,267321
